Scenario_Label,W1,W2,Best_Score_GA,Best_Score_PSO
W1_1.0_W2_0.0,1.0,0.0,89.14524158400488,89.54079895389938
W1_0.9_W2_0.1,0.9,0.1,92.38060423292688,100.07995126069858
W1_0.8_W2_0.2,0.8,0.2,96.75926004719169,100.36322915614984
W1_0.7_W2_0.3,0.7,0.3,100.39772094047498,100.7872289145858
W1_0.6_W2_0.4,0.6,0.4,104.27952193202465,106.05621565654982
W1_0.5_W2_0.5,0.5,0.5,107.61819247009079,121.95593813692153
W1_0.4_W2_0.6,0.4,0.5,99.24420187767194,103.1153360546583
W1_0.3_W2_0.7,0.3,0.7,115.05417940864594,132.380212821298
W1_0.2_W2_0.8,0.2,0.8,118.89594539286529,121.2739784204589
W1_0.1_W2_0.9,0.1,0.9,122.70576928916441,145.6910178790157
W1_0.0_W2_1.0,0.0,1.0,126.70326407610456,132.74962398460718
